nome,localidade,frequencia 1930[,"frequencia [1930,1940[","frequencia [1940,1950[","frequencia [1950,1960[","frequencia [1960,1970[","frequencia [1970,1980[","frequencia [1980,1990[","frequencia [1990,2000[","frequencia [2000,2010[",total_frequencia
MARIA,BR,336477,749053,1487042,2476482,2495491,1616019,917968,544296,1111301,11734129
JOSE,BR,118121,311202,648754,1082782,1242231,942212,661123,431536,316568,5754529
JOAO,BR,60155,141772,256001,396438,429148,279975,273960,352552,794118,2984119
ANA,BR,33395,56160,101259,183941,292835,421531,529266,536302,935169,3089858
ANTONIO,BR,60651,153459,314375,490645,531596,421292,299788,181350,123192,2576348
FRANCISCO,BR,33338,78300,160721,263616,331643,298780,285827,195901,124071,1772197
PAULO,BR,6234,20739,60073,163158,264587,274744,259594,211265,162868,1423262
LUCAS,BR,388,937,1593,2787,4425,9954,84484,517436,505306,1127310
CARLOS,BR,4659,15620,53410,154038,267228,258333,270843,198370,266690,1489191
MARCOS,BR,777,2182,8840,38435,137775,256225,241551,219198,201182,1106165
PEDRO,BR,21483,49143,86926,126205,132795,87427,97975,174376,443275,1219605
LUIZ,BR,11073,31114,74213,162493,198312,146253,141548,147996,194790,1107792
GABRIEL,BR,1267,2744,4256,6095,6559,9103,46996,271405,584024,932449
MATEUS,BR,269,635,1179,1875,2829,6505,26373,218839,330315,588819
RAIMUNDO,BR,17300,41825,80134,116544,135106,104975,71814,32954,12709,613361
DANIEL,BR,1425,4601,10500,20672,38949,78204,171147,191287,194553,711338
RAFAEL,BR,927,2426,3999,5687,8024,27396,262250,314959,195970,821638
BRUNO,BR,599,1351,2071,2595,4080,17911,172313,291524,175773,668217
TIAGO,BR,279,529,758,1081,1842,10434,202332,159130,118826,495211
SEBASTIAO,BR,17299,45035,84668,112708,101288,55121,28101,12660,5625,462505
FRANCISCA,BR,27317,50099,91799,114117,130467,115754,100957,63836,31296,725642
ANTONIA,BR,22746,42629,72229,92052,104823,95107,80720,51444,31065,592815
RAIMUNDA,BR,16455,31166,50089,59429,59644,42823,25346,9556,2792,297300
MANOEL,BR,28241,60061,95014,116085,112892,81728,52601,28528,17195,592345
LUIS,BR,7632,20369,48056,113470,162943,131786,128991,137506,185152,935905
BENEDITO,BR,9065,23526,42532,54451,42570,21566,11840,5914,2560,214024
DOMINGOS,BR,4343,10271,17782,25466,26733,19270,13245,6157,2314,125581
ROSA,BR,15097,25958,42157,67179,71023,55682,20160,6658,3270,307184
CICERO,BR,2725,8341,16085,32723,47634,58711,45609,24547,12252,248627
RITA,BR,9212,19049,31434,55149,95792,71591,40629,20065,12631,355552
JOSEFA,BR,19421,37220,61101,70552,66424,46409,25535,11590,4354,342606
SEVERINO,BR,6479,14611,29798,39475,38203,24916,11873,3967,1373,170695
SEVERINA,BR,7341,13108,23234,26125,20465,10957,4047,911,203,106391
CICERA,BR,979,3397,7402,14575,20382,26806,20803,10250,4064,108658
QUITERIA,BR,1432,2372,3900,5777,8746,7812,4256,1535,475,36305
ADRIANA,BR,262,489,782,2078,33477,247099,195003,71541,17237,567968
GERALDO,BR,10029,29624,56005,80862,86930,43625,21157,8522,3603,340357
MARCELO,BR,300,787,2450,8837,67145,224990,207902,118215,62589,693215
LEONARDO,BR,627,1830,3412,5896,11411,44341,120876,210481,148727,547601
RODRIGO,BR,194,447,744,1581,5471,78928,250186,181864,82235,601650
JORGE,BR,4029,13422,34447,99457,113041,72693,60551,42672,25637,465949
MARCIA,BR,214,723,4989,29337,134918,204595,127105,39869,11956,553706
FELIPE,BR,600,1173,1750,2462,3719,12447,107869,263480,227960,621460
GUILHERME,BR,1174,2392,3642,5118,7297,12791,53137,164339,279111,529001
EDUARDO,BR,2036,5136,11591,25775,47020,88801,125103,135005,192197,632664
GUSTAVO,BR,420,888,1336,2522,5429,24792,60934,140109,305050,541480
ANDRE,BR,1154,2764,4437,8745,30200,124754,191597,130048,90109,583808
VERA,BR,1307,3958,32157,112453,126329,71151,23103,4860,1640,376958
