localidade_id,nome,frequencia,ranking
11,MARIA,72579,1
11,JOSE,37986,2
11,JOAO,23366,3
11,ANA,20134,4
11,ANTONIO,16252,5
11,FRANCISCO,11594,6
11,PAULO,10402,7
11,LUCAS,9910,8
11,CARLOS,9525,9
11,MARCOS,9150,10
11,PEDRO,8838,11
11,LUIZ,7655,12
11,GABRIEL,6807,13
11,MATEUS,6056,14
11,RAIMUNDO,5380,15
11,DANIEL,5298,16
11,RAFAEL,5268,17
11,BRUNO,5028,18
11,TIAGO,5003,19
11,SEBASTIAO,4883,20
12,MARIA,63172,1
12,JOSE,24599,2
12,FRANCISCO,21103,3
12,ANTONIO,17035,4
12,ANA,10459,5
12,JOAO,10383,6
12,FRANCISCA,10258,7
12,RAIMUNDO,8993,8
12,ANTONIA,6102,9
12,RAIMUNDA,5195,10
12,MANOEL,4728,11
12,PEDRO,4234,12
12,CARLOS,4188,13
12,PAULO,3946,14
12,MARCOS,3651,15
12,LUCAS,3514,16
12,SEBASTIAO,3215,17
12,LUIZ,3146,18
12,MATEUS,2628,19
12,GABRIEL,2508,20
13,MARIA,173034,1
13,JOSE,68995,2
13,FRANCISCO,47716,3
13,ANA,47593,4
13,ANTONIO,42585,5
13,JOAO,41234,6
13,RAIMUNDO,40914,7
13,CARLOS,23796,8
13,PAULO,22026,9
13,RAIMUNDA,21972,10
13,FRANCISCA,19952,11
13,PEDRO,18949,12
13,MARCOS,18023,13
13,LUCAS,17510,14
13,MANOEL,15218,15
13,LUIZ,15204,16
13,GABRIEL,14509,17
13,DANIEL,13953,18
13,ANTONIA,12419,19
13,MATEUS,10851,20
14,MARIA,20848,1
14,JOSE,9731,2
14,ANTONIO,7110,3
14,FRANCISCO,6615,4
14,ANA,6465,5
14,JOAO,5664,6
14,RAIMUNDO,3866,7
14,CARLOS,2781,8
14,FRANCISCA,2690,9
14,PAULO,2684,10
14,PEDRO,2616,11
14,LUCAS,2471,12
14,ANTONIA,2119,13
14,MARCOS,2107,14
14,LUIZ,1885,15
14,GABRIEL,1798,16
14,DANIEL,1730,17
14,RAIMUNDA,1601,18
14,MANOEL,1557,19
14,LUIS,1439,20
15,MARIA,472891,1
15,JOSE,188231,2
15,ANTONIO,126202,3
15,ANA,113531,4
15,JOAO,110047,5
15,RAIMUNDO,92237,6
15,FRANCISCO,77776,7
15,CARLOS,55127,8
15,PAULO,53620,9
15,MANOEL,53312,10
15,PEDRO,45434,11
15,MARCOS,42649,12
15,RAIMUNDA,41561,13
15,LUCAS,37329,14
15,ANTONIA,37282,15
15,LUIZ,31738,16
15,FRANCISCA,30633,17
15,DANIEL,27247,18
15,LUIS,26969,19
15,GABRIEL,26230,20
16,MARIA,35298,1
16,JOSE,15401,2
16,ANA,10097,3
16,JOAO,8095,4
16,RAIMUNDO,6895,5
16,ANTONIO,6474,6
16,MANOEL,4621,7
16,FRANCISCO,4575,8
16,PAULO,4336,9
16,CARLOS,3918,10
16,LUCAS,3585,11
16,PEDRO,3341,12
16,MARCOS,3333,13
